type,organism,species
E,S. cerevisiae,322
E,S. cerevisiae,330
E,S. cerevisiae,330
E,S. cerevisiae,281
E,S. cerevisiae,276
E,S. cerevisiae,311
E,S. cerevisiae,342
E,S. cerevisiae,261
E,S. cerevisiae,335
E,S. cerevisiae,335
E,S. cerevisiae,307
E,S. cerevisiae,25
E,S. cerevisiae,342
E,S. cerevisiae,266
E,S. cerevisiae,49
E,S. cerevisiae,327
E,S. cerevisiae,342
E,S. cerevisiae,236
E,S. cerevisiae,341
E,S. cerevisiae,61
E,S. cerevisiae,318
E,S. cerevisiae,336
E,S. cerevisiae,337
E,S. cerevisiae,334
E,S. cerevisiae,236
E,S. cerevisiae,343
E,S. cerevisiae,323
E,S. cerevisiae,340
E,S. cerevisiae,312
E,S. cerevisiae,338
E,S. cerevisiae,328
E,S. cerevisiae,262
E,S. cerevisiae,337
E,S. cerevisiae,339
E,S. cerevisiae,342
E,S. cerevisiae,9
E,S. cerevisiae,334
E,S. cerevisiae,300
E,S. cerevisiae,286
E,S. cerevisiae,333
E,S. cerevisiae,342
E,S. cerevisiae,338
E,S. cerevisiae,339
E,S. cerevisiae,279
E,S. cerevisiae,318
E,S. cerevisiae,304
E,S. cerevisiae,341
E,S. cerevisiae,318
E,S. cerevisiae,247
E,S. cerevisiae,343
E,S. cerevisiae,316
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,42
E,S. cerevisiae,331
E,S. cerevisiae,332
E,S. cerevisiae,322
E,S. cerevisiae,286
E,S. cerevisiae,279
E,S. cerevisiae,317
E,S. cerevisiae,320
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,69
E,S. cerevisiae,62
E,S. cerevisiae,341
E,S. cerevisiae,338
E,S. cerevisiae,315
E,S. cerevisiae,340
E,S. cerevisiae,310
E,S. cerevisiae,16
E,S. cerevisiae,64
E,S. cerevisiae,336
E,S. cerevisiae,336
E,S. cerevisiae,334
E,S. cerevisiae,312
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,329
E,S. cerevisiae,342
E,S. cerevisiae,279
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,342
E,S. cerevisiae,322
E,S. cerevisiae,342
E,S. cerevisiae,302
E,S. cerevisiae,342
E,S. cerevisiae,332
E,S. cerevisiae,340
E,S. cerevisiae,65
E,S. cerevisiae,335
E,S. cerevisiae,341
