type,organism,dnds
E,S. cerevisiae,0.325
E,S. cerevisiae,0.1554
E,S. cerevisiae,0.0478
E,S. cerevisiae,0.13055
E,S. cerevisiae,0.24
E,S. cerevisiae,0.2186
E,S. cerevisiae,0.1722
E,S. cerevisiae,0.075
E,S. cerevisiae,0.2477
E,S. cerevisiae,0.096
E,S. cerevisiae,0.1613
E,S. cerevisiae,0.14479999999999998
E,S. cerevisiae,0.1482
E,S. cerevisiae,0.2773
E,S. cerevisiae,0.18545
E,S. cerevisiae,0.1535
E,S. cerevisiae,0.0425
E,S. cerevisiae,0.0901
E,S. cerevisiae,0.12569999999999998
E,S. cerevisiae,0.19075
E,S. cerevisiae,0.1283
E,S. cerevisiae,0.122
E,S. cerevisiae,0.0468
E,S. cerevisiae,0.1379
E,S. cerevisiae,0.2869
E,S. cerevisiae,0.0763
E,S. cerevisiae,0.1111
E,S. cerevisiae,0.1299
E,S. cerevisiae,0.0584
E,S. cerevisiae,0.1196
E,S. cerevisiae,0.1895
E,S. cerevisiae,0.0561
E,S. cerevisiae,0.0809
E,S. cerevisiae,0.04295
E,S. cerevisiae,0.1859
E,S. cerevisiae,0.1424
E,S. cerevisiae,0.2083
E,S. cerevisiae,0.1834
E,S. cerevisiae,0.0896
E,S. cerevisiae,0.1054
E,S. cerevisiae,0.1112
E,S. cerevisiae,0.0798
E,S. cerevisiae,0.3127
E,S. cerevisiae,0.021
E,S. cerevisiae,0.1356
E,S. cerevisiae,0.1898
E,S. cerevisiae,0.0647
E,S. cerevisiae,0.1409
E,S. cerevisiae,0.0863
E,S. cerevisiae,0.03745
E,S. cerevisiae,0.2371
E,S. cerevisiae,0.1414
E,S. cerevisiae,0.0616
E,S. cerevisiae,0.1084
E,S. cerevisiae,0.045
E,S. cerevisiae,0.1997
E,S. cerevisiae,0.0692
E,S. cerevisiae,0.2068
E,S. cerevisiae,0.0693
E,S. cerevisiae,0.042
E,S. cerevisiae,0.0553
E,S. cerevisiae,0.2197
E,S. cerevisiae,0.0898
E,S. cerevisiae,0.114
E,S. cerevisiae,0.114
E,S. cerevisiae,0.1002
E,S. cerevisiae,0.0864
E,S. cerevisiae,0.1001
E,S. cerevisiae,0.16915
E,S. cerevisiae,0.1703
E,S. cerevisiae,0.1059
E,S. cerevisiae,0.23604999999999998
E,S. cerevisiae,0.0949
E,S. cerevisiae,0.094
E,S. cerevisiae,0.0433
E,S. cerevisiae,0.1683
E,S. cerevisiae,0.1422
E,S. cerevisiae,0.1829
E,S. cerevisiae,0.0736
E,S. cerevisiae,0.0474
E,S. cerevisiae,0.07185
E,S. cerevisiae,0.1597
E,S. cerevisiae,0.0614
E,S. cerevisiae,0.3171
E,S. cerevisiae,0.0623
E,S. cerevisiae,0.0587
E,S. cerevisiae,0.1248
E,S. cerevisiae,0.1318
E,S. cerevisiae,0.1828
E,S. cerevisiae,0.0293
E,S. cerevisiae,0.1072
E,S. cerevisiae,0.0398
E,S. cerevisiae,0.1519
E,S. cerevisiae,0.0534
E,S. cerevisiae,0.0887
E,S. cerevisiae,0.0336
E,S. cerevisiae,0.1337
E,S. cerevisiae,0.063
E,S. cerevisiae,0.1438
E,S. cerevisiae,0.0798
E,S. cerevisiae,0.0456
E,S. cerevisiae,0.0932
E,S. cerevisiae,0.0679
E,S. cerevisiae,0.0497
