type,organism,conservation_score
E,S. cerevisiae,0.344563
E,S. cerevisiae,0.7230275
E,S. cerevisiae,0.6988625
E,S. cerevisiae,0.422105
E,S. cerevisiae,0.551457
E,S. cerevisiae,0.366874
E,S. cerevisiae,0.734847
E,S. cerevisiae,0.447375
E,S. cerevisiae,0.423636
E,S. cerevisiae,0.539935
E,S. cerevisiae,0.478002
E,S. cerevisiae,0.545486
E,S. cerevisiae,0.4370495
E,S. cerevisiae,0.286035
E,S. cerevisiae,0.522931
E,S. cerevisiae,0.460765
E,S. cerevisiae,0.710936
E,S. cerevisiae,0.704543
E,S. cerevisiae,0.7755885
E,S. cerevisiae,0.4164335
E,S. cerevisiae,0.554867
E,S. cerevisiae,0.647161
E,S. cerevisiae,0.746707
E,S. cerevisiae,0.653722
E,S. cerevisiae,0.351319
E,S. cerevisiae,0.704827
E,S. cerevisiae,0.549998
E,S. cerevisiae,0.748983
E,S. cerevisiae,0.450804
E,S. cerevisiae,0.5484605
E,S. cerevisiae,0.5667
E,S. cerevisiae,0.468231
E,S. cerevisiae,0.7864355
E,S. cerevisiae,0.647732
E,S. cerevisiae,0.575029
E,S. cerevisiae,0.744766
E,S. cerevisiae,0.4105255
E,S. cerevisiae,0.48247
E,S. cerevisiae,0.4813525
E,S. cerevisiae,0.482613
E,S. cerevisiae,0.651317
E,S. cerevisiae,0.67352
E,S. cerevisiae,0.668081
E,S. cerevisiae,0.544987
E,S. cerevisiae,0.382872
E,S. cerevisiae,0.73889
E,S. cerevisiae,0.5236685
E,S. cerevisiae,0.399511
E,S. cerevisiae,0.696767
E,S. cerevisiae,0.357515
E,S. cerevisiae,0.317249
E,S. cerevisiae,0.560622
E,S. cerevisiae,0.759148
E,S. cerevisiae,0.446583
E,S. cerevisiae,0.546617
E,S. cerevisiae,0.720235
E,S. cerevisiae,0.4355875
E,S. cerevisiae,0.7711045
E,S. cerevisiae,0.481006
E,S. cerevisiae,0.6880525
E,S. cerevisiae,0.4970835
E,S. cerevisiae,0.7509945
E,S. cerevisiae,0.5756175
E,S. cerevisiae,0.68872
E,S. cerevisiae,0.39859
E,S. cerevisiae,0.6081535
E,S. cerevisiae,0.64613
E,S. cerevisiae,0.605226
E,S. cerevisiae,0.5320255
E,S. cerevisiae,0.6212165
E,S. cerevisiae,0.637228
E,S. cerevisiae,0.677909
E,S. cerevisiae,0.586248
E,S. cerevisiae,0.522593
E,S. cerevisiae,0.660202
E,S. cerevisiae,0.524436
E,S. cerevisiae,0.493761
E,S. cerevisiae,0.569931
E,S. cerevisiae,0.74651
E,S. cerevisiae,0.459012
E,S. cerevisiae,0.581543
E,S. cerevisiae,0.3918595
E,S. cerevisiae,0.676576
E,S. cerevisiae,0.745534
E,S. cerevisiae,0.739816
E,S. cerevisiae,0.510262
E,S. cerevisiae,0.661574
E,S. cerevisiae,0.3363325
E,S. cerevisiae,0.676522
E,S. cerevisiae,0.7200195
E,S. cerevisiae,0.417504
E,S. cerevisiae,0.4643115
E,S. cerevisiae,0.666519
E,S. cerevisiae,0.7817575
E,S. cerevisiae,0.576167
E,S. cerevisiae,0.7796905
E,S. cerevisiae,0.555992
E,S. cerevisiae,0.572876
E,S. cerevisiae,0.506135
E,S. cerevisiae,0.784253
E,S. cerevisiae,0.4531875
E,S. cerevisiae,0.6327305
E,S. cerevisiae,0.5624385
E,S. cerevisiae,0.515118
E,S. cerevisiae,0.794116
E,S. cerevisiae,0.612904
E,S. cerevisiae,0.7304405
E,S. cerevisiae,0.7234135
E,S. cerevisiae,0.61406
E,S. cerevisiae,0.636778
E,S. cerevisiae,0.4336745
E,S. cerevisiae,0.719172
E,S. cerevisiae,0.610542
E,S. cerevisiae,0.3548795
E,S. cerevisiae,0.689114
E,S. cerevisiae,0.517458
E,S. cerevisiae,0.542885
E,S. cerevisiae,0.791672
E,S. cerevisiae,0.560108
E,S. cerevisiae,0.4690145
E,S. cerevisiae,0.643392
E,S. cerevisiae,0.517082
E,S. cerevisiae,0.7459705
E,S. cerevisiae,0.6524025
E,S. cerevisiae,0.57506
E,S. cerevisiae,0.5161405
E,S. cerevisiae,0.420319
E,S. cerevisiae,0.497657
E,S. cerevisiae,0.6409915
E,S. cerevisiae,0.571793
E,S. cerevisiae,0.662484
E,S. cerevisiae,0.4899945
E,S. cerevisiae,0.532038
E,S. cerevisiae,0.621612
E,S. cerevisiae,0.481596
E,S. cerevisiae,0.6830735
E,S. cerevisiae,0.5237535
E,S. cerevisiae,0.504649
E,S. cerevisiae,0.713029
E,S. cerevisiae,0.470014
E,S. cerevisiae,0.520225
E,S. cerevisiae,0.727899
E,S. cerevisiae,0.656826
E,S. cerevisiae,0.556867
E,S. cerevisiae,0.5042335
E,S. cerevisiae,0.772532
E,S. cerevisiae,0.739886
E,S. cerevisiae,0.552394
E,S. cerevisiae,0.695204
E,S. cerevisiae,0.668984
E,S. cerevisiae,0.711279
E,S. cerevisiae,0.711869
E,S. cerevisiae,0.430165
E,S. cerevisiae,0.659707
E,S. cerevisiae,0.562907
E,S. cerevisiae,0.672228
E,S. cerevisiae,0.76076
E,S. cerevisiae,0.530033
E,S. cerevisiae,0.3960005
E,S. cerevisiae,0.690708
E,S. cerevisiae,0.505351
E,S. cerevisiae,0.383176
E,S. cerevisiae,0.784061
E,S. cerevisiae,0.441258
E,S. cerevisiae,0.366394
E,S. cerevisiae,0.416222
E,S. cerevisiae,0.419946
E,S. cerevisiae,0.500373
E,S. cerevisiae,0.478938
E,S. cerevisiae,0.395591
E,S. cerevisiae,0.641474
E,S. cerevisiae,0.5182435
E,S. cerevisiae,0.5472115
E,S. cerevisiae,0.709826
E,S. cerevisiae,0.319855
E,S. cerevisiae,0.485499
E,S. cerevisiae,0.731864
E,S. cerevisiae,0.596336
E,S. cerevisiae,0.7605435
E,S. cerevisiae,0.5565905
E,S. cerevisiae,0.500337
E,S. cerevisiae,0.559632
E,S. cerevisiae,0.629285
E,S. cerevisiae,0.77246
E,S. cerevisiae,0.776559
E,S. cerevisiae,0.433099
E,S. cerevisiae,0.693299
E,S. cerevisiae,0.397801
E,S. cerevisiae,0.566905
E,S. cerevisiae,0.6293545
E,S. cerevisiae,0.533079
E,S. cerevisiae,0.543755
E,S. cerevisiae,0.5735945
E,S. cerevisiae,0.5680675
E,S. cerevisiae,0.601676
E,S. cerevisiae,0.4743275
E,S. cerevisiae,0.480945
E,S. cerevisiae,0.465341
E,S. cerevisiae,0.448892
E,S. cerevisiae,0.5040835
E,S. cerevisiae,0.516147
E,S. cerevisiae,0.488173
E,S. cerevisiae,0.58633
E,S. cerevisiae,0.507268
E,S. cerevisiae,0.4634675
E,S. cerevisiae,0.7337355
E,S. cerevisiae,0.754922
E,S. cerevisiae,0.771075
