,OG,conservation_score
0,OG6423_aa_aligned.fasta,0.5221335
1,OG13627_aa_aligned.fasta,0.71848
2,OG11512_aa_aligned.fasta,0.5490889999999999
3,OG7721_aa_aligned.fasta,0.5805015
4,OG2820_aa_aligned.fasta,0.4860855
5,OG16673_aa_aligned.fasta,0.6600635
6,OG1672_aa_aligned.fasta,0.4589255
7,OG10796_aa_aligned.fasta,0.69548
8,OG17379_aa_aligned.fasta,0.595325
9,OG2987_aa_aligned.fasta,0.48703
10,OG11602_aa_aligned.fasta,0.608981
11,OG12169_aa_aligned.fasta,0.584341
12,OG5864_aa_aligned.fasta,0.4519755
13,OG8118_aa_aligned.fasta,0.44516599999999995
14,OG4121_aa_aligned.fasta,0.521042
15,OG5797_aa_aligned.fasta,0.480795
16,OG3016_aa_aligned.fasta,0.713029
17,OG3867_aa_aligned.fasta,0.48780650000000003
18,OG1908_aa_aligned.fasta,0.465485
19,OG16462_aa_aligned.fasta,0.6180695
20,OG9680_aa_aligned.fasta,0.580167
21,OG9674_aa_aligned.fasta,0.593176
22,OG18533_aa_aligned.fasta,0.631038
23,OG7434_aa_aligned.fasta,0.469404
24,OG6880_aa_aligned.fasta,0.5741
25,OG11339_aa_aligned.fasta,0.566776
26,OG12977_aa_aligned.fasta,0.587988
27,OG2239_aa_aligned.fasta,0.3963525
28,OG13162_aa_aligned.fasta,0.679487
29,OG4447_aa_aligned.fasta,0.798193
30,OG4917_aa_aligned.fasta,0.441323
31,OG2689_aa_aligned.fasta,0.39833450000000004
32,OG1826_aa_aligned.fasta,0.281087
33,OG9842_aa_aligned.fasta,0.618573
34,OG16859_aa_aligned.fasta,0.6059475
35,OG2032_aa_aligned.fasta,0.740573
36,OG7002_aa_aligned.fasta,0.50879
37,OG4518_aa_aligned.fasta,0.4870065
38,OG3255_aa_aligned.fasta,0.439089
39,OG3840_aa_aligned.fasta,0.713296
40,OG10999_aa_aligned.fasta,0.6802085
41,OG3120_aa_aligned.fasta,0.663745
42,OG2977_aa_aligned.fasta,0.584437
43,OG9098_aa_aligned.fasta,0.5438695
44,OG18016_aa_aligned.fasta,0.700776
45,OG9773_aa_aligned.fasta,0.571192
46,OG16659_aa_aligned.fasta,0.591713
47,OG17828_aa_aligned.fasta,0.697008
48,OG8199_aa_aligned.fasta,0.626394
49,OG15020_aa_aligned.fasta,0.621402
50,OG12321_aa_aligned.fasta,0.574283
51,OG8477_aa_aligned.fasta,0.417865
52,OG14690_aa_aligned.fasta,0.671288
53,OG15926_aa_aligned.fasta,0.574668
54,OG6338_aa_aligned.fasta,
55,OG11411_aa_aligned.fasta,0.6728795
56,OG2507_aa_aligned.fasta,0.499384
57,OG12599_aa_aligned.fasta,0.5340805
58,OG1241_aa_aligned.fasta,0.5202665
59,OG1860_aa_aligned.fasta,0.597167
60,OG15037_aa_aligned.fasta,0.630097
61,OG4737_aa_aligned.fasta,0.4689525
62,OG11908_aa_aligned.fasta,0.510985
63,OG6220_aa_aligned.fasta,0.42749250000000005
64,OG13669_aa_aligned.fasta,0.5910065
65,OG7122_aa_aligned.fasta,0.381215
66,OG2090_aa_aligned.fasta,0.581543
67,OG5319_aa_aligned.fasta,0.4986155
68,OG15448_aa_aligned.fasta,0.607105
69,OG7692_aa_aligned.fasta,0.487323
70,OG6433_aa_aligned.fasta,0.540003
71,OG9198_aa_aligned.fasta,0.747997
72,OG13209_aa_aligned.fasta,0.633559
73,OG7045_aa_aligned.fasta,0.435598
74,OG11098_aa_aligned.fasta,0.563933
75,OG7214_aa_aligned.fasta,0.637626
76,OG2812_aa_aligned.fasta,0.509913
77,OG13396_aa_aligned.fasta,0.6147035
78,OG7470_aa_aligned.fasta,0.444
79,OG7661_aa_aligned.fasta,0.38497
80,OG2310_aa_aligned.fasta,0.384138
81,OG16511_aa_aligned.fasta,0.6378145
82,OG4269_aa_aligned.fasta,0.569214
83,OG3079_aa_aligned.fasta,0.460172
84,OG10421_aa_aligned.fasta,0.474493
85,OG1261_aa_aligned.fasta,0.317249
86,OG15693_aa_aligned.fasta,0.638571
87,OG6973_aa_aligned.fasta,0.381579
88,OG9478_aa_aligned.fasta,0.712072
89,OG7042_aa_aligned.fasta,0.45659
90,OG14674_aa_aligned.fasta,0.636788
91,OG14213_aa_aligned.fasta,0.645492
92,OG6853_aa_aligned.fasta,0.454111
93,OG6259_aa_aligned.fasta,0.409505
94,OG11849_aa_aligned.fasta,0.5337354999999999
95,OG3282_aa_aligned.fasta,0.402796
96,OG17113_aa_aligned.fasta,0.762068
97,OG13305_aa_aligned.fasta,0.4764005
98,OG1645_aa_aligned.fasta,0.590675
99,OG2818_aa_aligned.fasta,0.53603
100,OG17458_aa_aligned.fasta,0.705438
101,OG4523_aa_aligned.fasta,0.703541
102,OG5730_aa_aligned.fasta,0.37208549999999996
103,OG15442_aa_aligned.fasta,0.621037
104,OG3674_aa_aligned.fasta,0.649226
105,OG8380_aa_aligned.fasta,0.383105
106,OG14858_aa_aligned.fasta,0.7334715
107,OG2638_aa_aligned.fasta,0.457641
108,OG10071_aa_aligned.fasta,0.62479
109,OG14890_aa_aligned.fasta,0.650995
110,OG16508_aa_aligned.fasta,0.59426
111,OG5462_aa_aligned.fasta,0.42964
112,OG16796_aa_aligned.fasta,0.579355
113,OG7625_aa_aligned.fasta,0.440276
114,OG16101_aa_aligned.fasta,0.64285
115,OG7855_aa_aligned.fasta,0.5366580000000001
116,OG13423_aa_aligned.fasta,0.614949
117,OG5633_aa_aligned.fasta,0.421291
118,OG11545_aa_aligned.fasta,0.6944205
119,OG10984_aa_aligned.fasta,0.584991
